id,fixture,n,strategy,seed,location,status,supply_peak_kw,delivered_energy_kwh,unmet_energy_kwh,min_voltage_pu,grid_violation_steps
0003bf611df5f3d1d19a,2025-12-1.2-regulated-normal,80000,immediate,61002,home,failed,534781.5710556703,1120000.0,0,0.773533830111281,25
00baba8ce8d003c324bc,2025-12-1.2-regulated-normal,20000,capacity_aware,61002,home,passed,232349.12608803416,280000.0,0,0.958507912037402,0
00d1db5bf7e940e6ddde,2025-06-1-as_supplied-normal,10000,immediate,61002,home,passed,182488.26733499396,140000.0,0,0.959193792822269,0
00f216386cd1aaa4d23e,2025-06-1-as_supplied-normal,6000,immediate,61003,public,passed,153078.56481013965,84000.0,0,0.9701411562224308,0
01ab08f86a6a2d1e4d69,2025-06-1-as_supplied-normal,20000,immediate,61001,home,failed,220501.3469542796,280000.0,0,0.9445075379449399,13
02941ef4a550e670ce41,2025-06-1-as_supplied-normal,1000,randomized_delay,61002,home,passed,145406.79138918503,14000.0,0,0.9722657747997784,0
037f11a5793ee26f222e,2025-06-1-as_supplied-normal,1000,capacity_aware,61002,work,passed,145406.79138911387,14000.0,0,0.9722657747998925,0
043a7c279b1ed7be15c2,2025-06-1-as_supplied-normal,10000,fixed_delay,61001,home,failed,201686.82840585962,140000.0,0,0.9554428187357241,8
0446e56ac3b25a4a45f3,2025-12-1.2-regulated-normal,5000,capacity_aware,61002,home,passed,232275.5981632633,70000.0,0,0.9583044943404756,0
04e4ae2675fdd0cd1724,2025-01-1-as_supplied-normal,0,immediate,61001,home,failed,218438.02746324605,0,0,0.9426223727309891,14
0533186ca816668d9e14,2025-06-1-as_supplied-normal,15000,immediate,61003,home,failed,202213.9134554643,210000.0,0,0.9502536444101367,9
055105263cf2df8ec4e7,2025-06-1-as_supplied-normal,1000,immediate,61001,work,passed,145406.79138923384,14000.0,0,0.9722657747998734,0
06c4344357abf9c376a9,2025-06-1-as_supplied-normal,5000,capacity_aware,61001,home,passed,148153.6547488777,70000.0,0,0.950021986401566,0
07117445f4005b8a25e4,2025-12-1-as_supplied-normal,1000,capacity_aware,61002,mixed,failed,231949.31066123908,13663.25,336.75,0.9366128671186462,19
0725ca7d3c287ba162bd,2025-06-1-as_supplied-normal,80000,capacity_aware,61001,public,failed,150446.83959015692,68625.0,1051375.0,0.9708122538680046,0
0757026efe976c057c32,2025-06-1-as_supplied-normal,40000,immediate,61003,public,failed,196340.09252331866,560000.0,0,0.9521788302777083,54
08269ed75f6c2e786eba,2025-06-0.996522-as_supplied-normal,10000,capacity_aware,61001,home,passed,182486.7895591301,140000.0,0,0.9591580362692482,0
0842ba7f5a5d06da6547,2025-12-1-as_supplied-normal,1000,immediate,61002,public,failed,233408.02331925454,14000.0,0,0.9361829775412397,19
085d7203c9fab5770007,2025-06-1-as_supplied-normal,15000,immediate,61001,home,failed,201632.80606708684,210000.0,0,0.9515726859920752,9
0889d0f647c3592a4929,2025-06-1-as_supplied-normal,0,capacity_aware,61002,home,passed,145406.79138918503,0,0,0.9722657747997784,0
089b2243e72be11457c6,2025-06-1-as_supplied-normal,10000,valley_filling,61001,home,passed,153862.7132506473,140000.0,7.036315974318086e-13,0.9693639954697972,0
090f4b665d742d9db16c,2025-06-1-as_supplied-normal,10000,capacity_aware,61003,public,failed,150446.83959015692,68586.23250000003,71413.76749999996,0.9708122538680046,0
092f64ab933479bccebb,2025-02-1-as_supplied-normal,0,immediate,61001,home,failed,223391.52446599095,0,0,0.9404380604593469,16
0b49c16b41ca0361fe80,2025-12-1-as_supplied-normal,1000,capacity_aware,61001,home,failed,231949.31066123908,14000.0,0,0.9366128671186462,19
0b54bdf67a2405926134,2025-06-1-as_supplied-normal,45000,capacity_aware,61002,home,passed,195039.1320846586,630000.0,0,0.9522065119182493,0
0bbfcd476b6c8c3f8994,2025-06-1-as_supplied-normal,80000,capacity_aware,61001,home,failed,147710.33377552763,79872.08273170539,1040127.9172682946,0.9500502036780158,0
0bc3ed2a2d39cd8fec82,2025-12-1.2-regulated-normal,10000,fixed_delay,61003,home,failed,292762.71807839896,140000.0,0,0.9370389612018213,9
0bc9cf696cbab02a38a6,2025-06-1-as_supplied-normal,20000,capacity_aware,61001,home,failed,147710.33377552763,79670.1315411041,200329.8684588959,0.9500502036780158,0
0bccc0693f570da61b6c,2025-06-1-as_supplied-normal,5000,immediate,61002,home,passed,163906.38261212193,70000.0,0,0.9657199298218619,0
0c38ceff823764b5e88b,2025-03-1-as_supplied-normal,0,immediate,61001,home,passed,195198.027024523,0,0,0.9522539273772088,0
0c47f4ab8fe85e6c0ec4,2025-12-1.2-regulated-normal,1000,immediate,61002,home,passed,223804.6411230109,14000.0,0,0.9617287275266249,0
0c526204401a418102e0,2025-12-1.2-regulated-normal,4000,immediate,61002,home,failed,235183.6819869178,56000.0,0,0.957302871051499,12
0d1ac73cb9244356271a,2025-06-1-as_supplied-normal,11000,immediate,61001,work,failed,179795.29191734712,154000.0,0,0.9657305380156702,2
0da4bbbf8d2420a0be4b,2025-06-1-as_supplied-normal,48500,capacity_aware,61001,home,passed,194887.94256188066,679000.0,0,0.9503117532383131,0
0e1f7ab97ef27c7b7276,2025-12-1.2-regulated-normal,0,immediate,61003,home,passed,219999.9973414636,0,0,0.9633167662208298,0
0e2dd49bdafc7610dcbb,2025-04-1-as_supplied-normal,0,immediate,61001,home,passed,179757.807469164,0,0,0.9586717576163176,0
0eaa386b71872821bdba,2025-06-1-as_supplied-normal,15000,immediate,61002,home,failed,201187.58007590522,210000.0,0,0.9519410421345748,9
0ead8a508a9bffa24eae,2025-06-1-as_supplied-normal,13500,immediate,61003,home,failed,196421.02973162575,189000.0,0,0.9526295399240583,4
